column,start,length
AVG CLASS SIZE - SUBREGION (KG),1260,4
AVG CLASS SIZE - DISTRICT (KG),1265,4
AVG CLASS SIZE - STATE (KG),1270,4
AVG CLASS SIZE - SCHOOL (GR1),1275,4
AVG CLASS SIZE - SUBREGION (GR1),1280,4
AVG CLASS SIZE - DISTRICT (GR1),1285,4
AVG CLASS SIZE - STATE (GR1),1290,4
AVG CLASS SIZE - SCHOOL (GR2),1295,4
AVG CLASS SIZE - SUBREGION (GR2),1300,4
AVG CLASS SIZE - DISTRICT (GR2),1305,4
AVG CLASS SIZE - STATE (GR2),1310,4
AVG CLASS SIZE - SCHOOL (GR3),1315,4
AVG CLASS SIZE - SUBREGION (GR3),1320,4
AVG CLASS SIZE - DISTRICT (GR3),1325,4
AVG CLASS SIZE - STATE (GR3),1330,4
AVG CLASS SIZE - SCHOOL (GR4),1335,4
AVG CLASS SIZE - SUBREGION (GR4),1340,4
AVG CLASS SIZE - DISTRICT (GR4),1345,4
AVG CLASS SIZE - STATE (GR4),1350,4
AVG CLASS SIZE - SCHOOL (GR5),1355,4
AVG CLASS SIZE - SUBREGION (GR5),1360,4
AVG CLASS SIZE - DISTRICT (GR5),1365,4
AVG CLASS SIZE - STATE (GR5),1370,4
AVG CLASS SIZE - SCHOOL (GR6),1375,4
AVG CLASS SIZE - SUBREGION (GR6),1380,4
AVG CLASS SIZE - DISTRICT (GR6),1385,4
AVG CLASS SIZE - STATE (GR6),1390,4
AVG CLASS SIZE - SCHOOL (GR7),1395,4
AVG CLASS SIZE - SUBREGION (GR7),1400,4
AVG CLASS SIZE - DISTRICT (GR7),1405,4
AVG CLASS SIZE - STATE (GR7),1410,4
AVG CLASS SIZE - SCHOOL (GR8),1415,4
AVG CLASS SIZE - SUBREGION (GR8),1420,4
AVG CLASS SIZE - DISTRICT (GR8),1425,4
AVG CLASS SIZE - STATE (GR8),1430,4
AVG CLASS SIZE - SCHOOL (H.S.),1435,4
AVG CLASS SIZE - SUBREGION (H.S.),1440,4
AVG CLASS SIZE - DISTRICT (H.S.),1445,4
AVG CLASS SIZE - STATE (H.S.),1450,4
MIN PER DAY MATH (GR3) SCHOOL,1455,3
MIN PER DAY MATH (GR3) SUBREGION,1459,3
MIN PER DAY MATH (GR3) DISTRICT,1463,3
MIN PER DAY MATH (GR3) STATE,1467,3
MIN PER DAY MATH (GR6) SCHOOL,1471,3
MIN PER DAY MATH (GR6) SUBREGION,1475,3
MIN PER DAY MATH (GR6) DISTRICT,1479,3
MIN PER DAY MATH (GR6) STATE,1483,3
MIN PER DAY MATH (GR8) SCHOOL,1487,3
MIN PER DAY MATH (GR8) SUBREGION,1491,3
MIN PER DAY MATH (GR8) DISTRICT,1495,3
MIN PER DAY MATH (GR8) STATE,1499,3
MIN PER DAY SCIE (GR3) SCHOOL,1503,3
MIN PER DAY SCIE (GR3) SUBREGION,1507,3
MIN PER DAY SCIE (GR3) DISTRICT,1511,3
MIN PER DAY SCIE (GR3) STATE,1515,3
MIN PER DAY SCIE (GR6) SCHOOL,1519,3
MIN PER DAY SCIE (GR6) SUBREGION,1523,3
MIN PER DAY SCIE (GR6) DISTRICT,1527,3
MIN PER DAY SCIE (GR6) STATE,1531,3
MIN PER DAY SCIE (GR8) SCHOOL,1535,3
MIN PER DAY SCIE (GR8) SUBREGION,1539,3
MIN PER DAY SCIE (GR8) DISTRICT,1543,3
MIN PER DAY SCIE (GR8) STATE,1547,3
MIN PER DAY ENGL (GR3) SCHOOL,1551,3
MIN PER DAY ENGL (GR3) SUBREGION,1555,3
MIN PER DAY ENGL (GR3) DISTRICT,1559,3
MIN PER DAY ENGL (GR3) STATE,1563,3
MIN PER DAY ENGL (GR6) SCHOOL,1567,3
MIN PER DAY ENGL (GR6) SUBREGION,1571,3
MIN PER DAY ENGL (GR6) DISTRICT,1575,3
MIN PER DAY ENGL (GR6) STATE,1579,3
