column,start,length
MIN PER DAY MATH (GR6) SCHOOL,1495,3
MIN PER DAY MATH (GR6) SUBREGION,1499,3
MIN PER DAY MATH (GR6) DISTRICT,1503,3
MIN PER DAY MATH (GR6) STATE,1507,3
MIN PER DAY MATH (GR8) SCHOOL,1511,3
MIN PER DAY MATH (GR8) SUBREGION,1515,3
MIN PER DAY MATH (GR8) DISTRICT,1519,3
MIN PER DAY MATH (GR8) STATE,1523,3
MIN PER DAY SCIE (GR3) SCHOOL,1527,3
MIN PER DAY SCIE (GR3) SUBREGION,1531,3
MIN PER DAY SCIE (GR3) DISTRICT,1535,3
MIN PER DAY SCIE (GR3) STATE,1539,3
MIN PER DAY SCIE (GR6) SCHOOL,1543,3
MIN PER DAY SCIE (GR6) SUBREGION,1547,3
MIN PER DAY SCIE (GR6) DISTRICT,1551,3
MIN PER DAY SCIE (GR6) STATE,1555,3
MIN PER DAY SCIE (GR8) SCHOOL,1559,3
MIN PER DAY SCIE (GR8) SUBREGION,1563,3
MIN PER DAY SCIE (GR8) DISTRICT,1567,3
MIN PER DAY SCIE (GR8) STATE,1571,3
MIN PER DAY ENGL (GR3) SCHOOL,1575,3
MIN PER DAY ENGL (GR3) SUBREGION,1579,3
MIN PER DAY ENGL (GR3) DISTRICT,1583,3
MIN PER DAY ENGL (GR3) STATE,1587,3
MIN PER DAY ENGL (GR6) SCHOOL,1591,3
MIN PER DAY ENGL (GR6) SUBREGION,1595,3
MIN PER DAY ENGL (GR6) DISTRICT,1599,3
MIN PER DAY ENGL (GR6) STATE,1603,3
MIN PER DAY ENGL (GR8) SCHOOL,1607,3
MIN PER DAY ENGL (GR8) SUBREGION,1611,3
MIN PER DAY ENGL (GR8) DISTRICT,1615,3
MIN PER DAY ENGL (GR8) STATE,1619,3
MIN PER DAY SOSC (GR3) SCHOOL,1623,3
MIN PER DAY SOSC (GR3) SUBREGION,1627,3
MIN PER DAY SOSC (GR3) DISTRICT,1631,3
MIN PER DAY SOSC (GR3) STATE,1635,3
MIN PER DAY SOSC (GR6) SCHOOL,1639,3
MIN PER DAY SOSC (GR6) SUBREGION,1643,3
MIN PER DAY SOSC (GR6) DISTRICT,1647,3
MIN PER DAY SOSC (GR6) STATE,1651,3
MIN PER DAY SOSC (GR8) SCHOOL,1655,3
MIN PER DAY SOSC (GR8) SUBREGION,1659,3
MIN PER DAY SOSC (GR8) DISTRICT,1663,3
MIN PER DAY SOSC (GR8) STATE,1667,3
% WHITE TEACH - DISTRICT,1671,5
% WHITE TEACH - STATE,1677,5
% BLACK TEACH - DISTRICT,1683,5
% BLACK TEACH - STATE,1689,5
% HISPANIC TEACH - DISTRICT,1695,5
% HISPANIC TEACH - STATE,1701,5
% ASIAN TEACH - DISTRICT,1707,5
% ASIAN TEACH - STATE,1713,5
% NATIVE AMER TEACH - DISTRICT,1719,5
% NATIVE AMER TEACH - STATE,1725,5
% MALE TEACH - DISTRICT,1731,5
% MALE TEACH - STATE,1737,5
% FEMALE TEACH - DISTRICT,1743,5
% FEMALE TEACH - STATE,1749,5
TOTAL TEACH FTE COUNT- DISTRICT,1755,7
TOTAL TEACH FTE COUNT- STATE,1763,7
AVG TEACH EXP. - DISTRICT,1771,5
AVG TEACH EXP. - STATE,1777,5
AVG TEACH EXP. - DISTRICT HIGH POVERTY,1783,5
AVG TEACH EXP. - DISTRICT LOW POVERTY,1789,5
AVG TEACH EXP. - STATE HIGH POVERTY,1795,5
AVG TEACH EXP. - STATE LOW POVERTY,1801,5
AVG TEACH EXP. - ALL(DIST TYPE),1807,5
AVG TEACH EXP. - ALL(DIST SIZE),1813,5
BACH DEGREE - DISTRICT,1819,5
BACH DEGREE - STATE,1825,5
BACH DEGREE - DISTRICT HIGH POVERTY,1831,5
BACH DEGREE - DISTRICT LOW POVERTY,1837,5
BACH DEGREE - STATE HIGH POVERTY,1843,5
BACH DEGREE - STATE LOW POVERTY,1849,5
BACH DEGREE - ALL(DIST TYPE),1855,5
BACH DEGREE - ALL(DIST SIZE),1861,5
MA+ DEGREE - DISTRICT,1867,5
MA+ DEGREE - STATE,1873,5
MA+ DEGREE - DISTRICT HIGH POVERTY,1879,5
MA+ DEGREE - DISTRICT LOW POVERTY,1885,5
MA+ DEGREE - STATE HIGH POVERTY,1891,5
MA+ DEGREE - STATE LOW POVERTY,1897,5
MA+ DEGREE - ALL(DIST TYPE),1903,5
MA+ DEGREE - ALL(DIST SIZE),1909,5
PUPIL-TEACHER RATIO -ELEM DISTRICT,1915,5
PUPIL-TEACHER RATIO -ELEM STATE,1921,5
PUPIL-TEACHER RATIO -ELEM ALL(DIST TYPE),1927,5
PUPIL-TEACHER RATIO -ELEM ALL(DIST SIZE),1933,5
PUPIL-TEACHER RATIO -HS DISTRICT,1939,5
PUPIL-TEACHER RATIO -HS STATE,1945,5
PUPIL-TEACHER RATIO -HS ALL(DIST TYPE),1951,5
PUPIL-TEACHER RATIO -HS ALL(DIST SIZE),1957,5
PUPIL-CERTIFIED STAFF RATIO  DISTRICT,1963,5
PUPIL-CERTIFIED STAFF RATIO  STATE,1969,5
PUPIL-CERTIFIED STAFF RATIO  ALL(DIST TYPE),1975,5
PUPIL-CERTIFIED STAFF RATIO  ALL(DIST SIZE),1981,5
PUPIL-ADMIN RATIO DISTRICT,1987,5
PUPIL-ADMIN RATIO STATE,1993,5
PUPIL-ADMIN RATIO ALL(DIST TYPE),1999,5
PUPIL-ADMIN RATIO ALL(DIST SIZE),2005,5
AVG TEACHER SALARY DISTRICT,2011,8
AVG TEACHER SALARY STATE,2020,8
AVG TEACHER SALARY ALL(DIST TYPE),2029,8
AVG TEACHER SALARY ALL(DIST SIZE),2038,8
AVG ADMIN SALARY DISTRICT,2047,8
AVG ADMIN SALARY STATE,2056,8
AVG ADMIN SALARY ALL(DIST TYPE),2065,8
AVG ADMIN SALARY ALL(DIST SIZE),2074,8
% TCHRS WITH EMERGENCY OR PROVISIONAL CREDENTIALS(SCHOOL),2083,5
% TCHRS WITH EMERGENCY OR PROVISIONAL CREDENTIALS(SUBREG),2089,5
% TCHRS WITH EMERGENCY OR PROVISIONAL CREDENTIALS(DISTRICT),2095,5
% TCHRS WITH EMERGENCY OR PROVISIONAL CREDENTIALS(STATE),2101,5
% EMERGENCY OR PROVISIONAL CREDENTIALS (DISTRICT HIGH POVERTY),2107,5
% EMERGENCY OR PROVISIONAL CREDENTIALS (DISTRICT LOW POVERTY),2113,5
% EMERGENCY OR PROVISIONAL CREDENTIALS (STATE HIGH POVERTY),2119,5
% EMERGENCY OR PROVISIONAL CREDENTIALS (STATE LOW POVERTY),2125,5
% CLASSES NOT TAUGHT BY HIGHLY QUALIFIED TEACHERS(SCHOOL),2131,5
% CLASSES NOT TAUGHT BY HIGHLY QUALIFIED TEACHERS(SUBREG),2137,5
% CLASSES NOT TAUGHT BY HIGHLY QUALIFIED TEACHERS(DISTRICT),2143,5
% CLASSES NOT TAUGHT BY HIGHLY QUALIFIED TEACHERS(STATE),2149,5
