schema_filename,file_type,publisher,data_source,schema_source,contributor
us/noaa/gsod_schema.csv,Global Surface Summary of the Day gzipped flat files,National Climatic Data Center,ftp://ftp.ncdc.noaa.gov/pub/data/gsod/,ftp://ftp.ncdc.noaa.gov/pub/data/gsod/readme.txt,Justin Myers
illinois/board_of_ed/reportcard2002.csv,Illinois School Report Card,Illinois State Board of Education,http://www.isbe.net/research/htmls/report_card.htm,Derived from ISBE file layout (XLS),Joe Germuska
illinois/board_of_ed/reportcard2003.csv,Illinois School Report Card,Illinois State Board of Education,http://www.isbe.net/research/htmls/report_card.htm,Derived from ISBE file layout (XLS),Joe Germuska
illinois/board_of_ed/reportcard2004.csv,Illinois School Report Card,Illinois State Board of Education,http://www.isbe.net/research/htmls/report_card.htm,Derived from ISBE file layout (XLS),Joe Germuska
illinois/board_of_ed/reportcard2005.csv,Illinois School Report Card,Illinois State Board of Education,http://www.isbe.net/research/htmls/report_card.htm,Derived from ISBE file layout (XLS),Joe Germuska
illinois/board_of_ed/reportcard2006.csv,Illinois School Report Card,Illinois State Board of Education,http://www.isbe.net/research/htmls/report_card.htm,Derived from ISBE file layout (XLS),Joe Germuska
illinois/board_of_ed/reportcard2007.csv,Illinois School Report Card,Illinois State Board of Education,http://www.isbe.net/research/htmls/report_card.htm,Derived from ISBE file layout (XLS),Joe Germuska
illinois/board_of_ed/reportcard2008.csv,Illinois School Report Card,Illinois State Board of Education,http://www.isbe.net/research/htmls/report_card.htm,Derived from ISBE file layout (XLS),Joe Germuska
illinois/board_of_ed/reportcard2009.csv,Illinois School Report Card,Illinois State Board of Education,http://www.isbe.net/research/htmls/report_card.htm,Derived from ISBE file layout (XLS),Joe Germuska
illinois/board_of_ed/reportcard2010.csv,Illinois School Report Card,Illinois State Board of Education,http://www.isbe.net/research/htmls/report_card.htm,Derived from ISBE file layout (XLS),Joe Germuska
illinois/board_of_ed/reportcard2011.csv,Illinois School Report Card,Illinois State Board of Education,http://www.isbe.net/research/htmls/report_card.htm,Derived from ISBE file layout (XLS),Joe Germuska
chicago/board_of_elections/results.csv,Election Results,Chicago Board of Elections,http://chicagoelections.com/results/ap/summary.txt,Derived from http://chicagoelections.com/results/ap/text_layout.txt,Joe Germuska
us/ssa/death_master_file.csv,fixed width,National Technical Information Service on behalf of the Social Security Administration,https://dmf.ntis.gov/recordlayout.pdf,Joe Germuska
